event_id,timestamp,device,event_type,alert_name,attack_category,severity,source_ip,destination_asset,host,uri,method,action,disposition_action,challenge_result,status,status_code,handling_status,closed_loop_status,warning_issued,warning_status,warning_recipient,warning_issued_at,hit_count,rule_id,request_id,analyst_requested,evidence_level,raw_request,raw_response
SRHINO-20260828-R001,2026-08-28T09:12:04+08:00,Srhino安全运营平台演示设备,security_alert,SQL注入攻击,sqli,high,203.0.113.10,api-prod-01,api-prod-01.example.test,/api/auth/login,POST,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T09:12:04+08:00,1,SQLI-942100,req-SRHINO-20260828-R001,True,full_http,"POST /api/auth/login HTTP/1.1
Host: api-prod-01.example.test
Content-Type: application/x-www-form-urlencoded
User-Agent: demo-client/1.0

username=admin%27+OR+%271%27%3D%271&password=demo","HTTP/1.1 403 Forbidden
Content-Type: application/json
X-Srhino-Action: block

{""code"":403,""message"":""request blocked""}"
SRHINO-20260828-R002,2026-08-28T09:10:37:51+08:00,Srhino安全运营平台演示设备,security_alert,路径穿越攻击,path-traversal,high,198.51.100.20,web-prod-02,web-prod-02.example.test,/download?file=../../../../etc/passwd,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,Web应用责任单位,2026-08-28T09:10:37:51+08:00,1,LFI-930110,req-SRHINO-20260828-R002,True,full_http,"GET /download?file=../../../../etc/passwd HTTP/1.1
Host: web-prod-02.example.test
Accept: */*
User-Agent: security-scanner/2.1

","HTTP/1.1 403 Forbidden
Content-Type: text/plain
X-Srhino-Action: block

blocked by security policy"
SRHINO-20260828-R003,2026-08-28T09:11:46:22+08:00,Srhino安全运营平台演示设备,security_alert,暴力破解登录,brute-force,high,192.0.2.50,oa-prod-01,oa-prod-01.example.test,/admin/login,POST,challenge,人机校验,未通过,challenged,429,已下发风险预警,待复核,True,已下发,OA系统责任单位,2026-08-28T09:11:46:22+08:00,1,BRUTE-913100,req-SRHINO-20260828-R003,True,full_http,"POST /admin/login HTTP/1.1
Host: oa-prod-01.example.test
Content-Type: application/json
X-Forwarded-For: 192.0.2.50

{""username"":""admin"",""password"":""guess-017""}","HTTP/1.1 429 Too Many Requests
Content-Type: application/json
Retry-After: 60
X-Srhino-Action: challenge

{""error"":""verification_required""}"
SRHINO-20260828-R004,2026-08-28T09:08:15:09+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.11,web-prod-01,web-prod-01.example.test,/search?q=%3Cscript%3Ealert%281%29%3C%2Fscript%3E,GET,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-SRHINO-20260828-R004,True,full_http,"GET /search?q=%3Cscript%3Ealert%281%29%3C%2Fscript%3E HTTP/1.1
Host: web-prod-01.example.test
User-Agent: Mozilla/5.0 (compatible; demo-browser)

","HTTP/1.1 200 OK
Content-Type: text/html; charset=utf-8
X-Srhino-Action: allow

<html><body>Search results for &lt;script&gt;alert(1)&lt;/script&gt;</body></html>"
SRHINO-20260828-R005,2026-08-28T09:09:02:44+08:00,Srhino安全运营平台演示设备,security_alert,SQL注入攻击,sqli,medium,198.51.100.21,api-prod-02,api-prod-02.example.test,/api/order/search,POST,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,SQLI-942100,req-SRHINO-20260828-R005,True,full_http,"POST /api/order/search HTTP/1.1
Host: api-prod-02.example.test
Content-Type: application/json
X-Request-Id: demo-r005

{""keyword"":""select shoes"",""sort"":""price asc""}","HTTP/1.1 200 OK
Content-Type: application/json
X-Srhino-Action: allow

{""total"":2,""items"":[{""name"":""select shoes"",""price"":199}]}"
SRHINO-20260828-00006,2026-08-28T09:00:47+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,203.0.113.11,api-prod-02,api-prod-02.example.test,/wp-admin,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T09:00:47+08:00,1,SCANNER-980130,req-97b93007a98a,False,metadata,,
SRHINO-20260828-00007,2026-08-28T22:00:55+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,203.0.113.10,api-prod-01,api-prod-01.example.test,/search,POST,challenge,人机校验,未通过,challenged,403,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-eeb6b2a0070e,False,metadata,,
SRHINO-20260828-00008,2026-08-28T10:32:32+08:00,Srhino安全运营平台演示设备,security_alert,恶意扫描探测,scanner,low,192.0.2.51,api-prod-01,api-prod-01.example.test,/.env,GET,block,拦截,不适用,blocked,403,已拦截,已闭环,True,已下发,API平台主管单位,2026-08-28T10:32:32+08:00,1,SCANNER-980130,req-95e02b0b640e,False,metadata,,
SRHINO-20260828-00009,2026-08-28T18:17:16+08:00,Srhino安全运营平台演示设备,security_alert,暴力破解登录,brute-force,high,203.0.113.10,web-prod-02,web-prod-02.example.test,/admin/login,POST,challenge,人机校验,未通过,challenged,429,已下发风险预警,已闭环,True,已下发,Web应用责任单位,2026-08-28T18:17:16+08:00,1,BRUTE-913100,req-ee4b477f3ede,False,metadata,,
SRHINO-20260828-00010,2026-08-28T09:02:06+08:00,Srhino安全运营平台演示设备,security_alert,跨站脚本攻击,xss,medium,198.51.100.20,api-prod-01,api-prod-01.example.test,/search,GET,allow,放行观察,不适用,allowed,200,待人工复核,待复核,False,未下发,,,1,XSS-941100,req-340348b95369,False,metadata,,
